Name,Gender,SSN,Member Date,Phone,State,Zip,Email,Credit Card,Credit Card_Number,Credit Card Exp,Gender,Favorite Radio Station,Purchases Past 30 Days,Spent Past 30 Days,Purchases Past 6 Months,Spent Past 6 Months,Purchases Past 12 Months,Spent Past 12 Months
Mr. Herman Johnson,male,311-28-9706,Wed Aug 22 2012 09:37:33 GMT-0400 (Eastern Daylight Time),6343743778,Minnesota,92903-7478,h.johnsonohnson@fecezti.com,Discover Card,6011xxxxxxxx9994,08/27,male,WHNO,2,$1135.6,6,$5197.63,10,$10735.269999999999
Emily Perry,female,175-81-5964,Thu Feb 28 2013 03:31:06 GMT-0500 (Eastern Standard Time),(770) 529-2364,Ohio,85333,e.perryerry@vej.com,American Express,3497xxxxxxx2644,02/24,female,WHFO,1,$515.09,4,$2924.9200000000005,6,$6213.6900000000005
Doctor Ronnie Hill,male,189-05-6086,16/4/2013,5219117090,C.T.,69271,r.Hill@kecepuf.edu,Diners Club United States & Canada,5484xxxxxxxx3906,01/27,male,WVAE,2,$910.79,4,$2946.94,6,$6453.039999999999
Lottie Reid,female,852-33-9284,2/12/2009,(880) 772-5259,Alaska,15573,l.reideid@duji.gov,Discover Card,6011xxxxxxxx9831,05/19,female,KACK,5,$2004.2000000000003,10,$5993.870000000001,16,$13553.840000000002
Kevin Grant,male,224-92-7845,Mon Mar 24 2008 21:38:23 GMT-0400 (Eastern Daylight Time),9435964118,CT,41643,k.Grant@pepzo.com,Discover Card,6011xxxxxxxx9433,12/19,male,WHOY,4,$2303.04,6,$4652.03,10,$10012.650000000003
Doctor Sean Tran,male,901-29-0566,14/4/2005,3505409124,Connecticut,33851,s.tranran@sed.ca,Visa,4118xxxxxxxx1232,03/26,male,WLMW,1,$293.35,3,$1191.4,5,$3095.51
Jonathan Morales,male,773-01-6992,Tue Nov 19 2013 06:13:16 GMT-0500 (Eastern Standard Time),7436834659,O.R.,95143-2905,j.moralesorales@sabe.gov,Discover Card,6011xxxxxxxx5212,08/23,male,KJUZ,5,$1816.42,9,$5629.219999999999,12,$11548.460000000001
Doctor Brett Herrera,male,669-26-1984,Wed Jun 15 2016 00:08:40 GMT-0400 (Eastern Daylight Time),(925) 585-2450,Kentucky,49092-3905,b.herreraerrera@eholob.org,Visa,4046xxxxxxxx1956,12/23,male,WKHL,0,$0,4,$2131.37,10,$7247.1399999999985
Nora Miller,female,928-72-6081,Tue Sep 21 2010 18:07:14 GMT-0400 (Eastern Daylight Time),(432) 652-3275,KS,69437-4896,n.milleriller@win.ca,Diners Club United States & Canada,5451xxxxxxxx6884,07/21,female,KJRK,2,$1206.2,6,$4194.63,14,$11998.539999999999
Mrs. Louise Lloyd,female,717-99-6160,Mon Sep 28 2015 12:03:02 GMT-0400 (Eastern Daylight Time),(716) 666-4432,Oklahoma,78427-0625,l.lloydloyd@co.edu,American Express,3444xxxxxxx0861,01/18,female,KEUW,1,$241.23,3,$1498.29,12,$6608.22
Chris Willis,male,380-04-1764,4/27/2009,(732) 624-6584,District of Columbia,42438,c.willisillis@niwriuru.edu,Discover Card,6011xxxxxxxx7355,09/19,male,WDIP,2,$1288.6,5,$4757.27,11,$10862.260000000002
Victor Phillips,male,219-51-5876,25/7/2011,6689116123,North Carolina,24322,v.phillipshillips@mafuwoca.org,Mastercard,5195xxxxxxxx8650,06/21,male,WXPZ,5,$1967.6899999999998,7,$6070.039999999999,13,$11697.310000000001
Travis Obrien,male,122-63-8908,27/11/2005,9773792893,NV,04415-9671,t.obrienbrien@cora.org,Mastercard,5151xxxxxxxx4405,05/18,male,KSDI,5,$2859.42,6,$4061.89,15,$9198.210000000001
Glenn Casey,male,832-69-9589,9/11/2011,4626398985,Texas,03511-9413,g.caseyasey@ip.gov,Mastercard,5151xxxxxxxx7542,06/23,male,KQUI,1,$226.05,5,$3751.3199999999997,11,$11302.93
Doctor Julian Ray,male,350-44-5874,4/23/2017,6326966444,Illinois,27387-6484,j.rayay@ciztumor.net,American Express,3402xxxxxxx6314,08/26,male,WSFM,1,$523.74,6,$3397.2799999999997,10,$8124.7699999999995
Inez Gray,female,238-08-7566,Fri Feb 01 2013 01:05:05 GMT-0500 (Eastern Standard Time),(851) 537-7197,I.D.,93748,i.grayray@weki.au,American Express,3410xxxxxxx2312,02/17,female,KNQO,3,$980.78,6,$4130.53,7,$8232.519999999999
Dr. Fred Christensen,male,137-27-7976,Fri Jul 16 2010 21:05:07 GMT-0400 (Eastern Daylight Time),8509491676,MO,92089-6619,f.Christensen@no.nz,Discover Card,6011xxxxxxxx5748,05/22,male,KSWM,0,$0,1,$384.5,3,$2513.66
Doctor Chester Stanley,male,496-43-3587,1/8/2011,8675043611,AL,54992,c.Stanley@dag.co,Diners Club United States & Canada,5456xxxxxxxx0827,05/17,male,WLZI,5,$1929.8700000000003,6,$5849.810000000001,15,$13922.36
Doctor Jorge Lawson,male,670-04-7908,31/7/2011,7108058844,R.I.,49104,j.Lawson@vivevan.net,Discover Card,6011xxxxxxxx8408,12/24,male,WHBQ,1,$895.65,2,$1866.8099999999997,7,$4805.15
Norman Zimmerman,male,156-58-6234,3/14/2005,(379) 943-5015,District of Columbia,68629,n.zimmermanimmerman@hak.edu,American Express,3464xxxxxxx6726,10/23,male,WWQJ,1,$226.92,6,$2835.0699999999997,8,$7633.08
Mr. Herbert Cruz,male,172-45-9148,Sun Nov 07 2004 07:07:40 GMT-0500 (Eastern Standard Time),2453995089,M.D.,29861,h.cruzruz@gowa.net,Discover Card,6011xxxxxxxx2600,11/22,male,WUJI,0,$0,3,$2075.04,7,$6282.780000000001
Alice Munoz,female,363-61-2278,6/11/2015,(824) 953-4858,California,48826,a.munozunoz@arila.gov,Diners Club United States & Canada,5406xxxxxxxx6670,04/25,female,KSKW,2,$1290.24,4,$2558.84,11,$9031.699999999999
Dr. Olivia Rice,female,494-83-1537,2/1/2015,(711) 741-2024,Minnesota,27208,o.riceice@linum.org,Discover Card,6011xxxxxxxx2526,01/22,female,WPKI,4,$1683.0300000000002,6,$5157.150000000001,7,$9099.1
Rosetta Page,female,172-74-9447,Wed Oct 05 2016 02:40:32 GMT-0400 (Eastern Daylight Time),4858748541,Arizona,62323-8404,r.Page@tu.com,Diners Club United States & Canada,5440xxxxxxxx3962,12/25,female,KFDX,5,$2160.63,6,$5160.9800000000005,11,$9959.960000000001
Jimmy Hicks,male,642-79-2998,9/7/2016,4615179606,K.Y.,30854,j.Hicks@fipmevu.de,Discover Card,6011xxxxxxxx4001,12/22,male,WUIZ,5,$2479.67,9,$6585.209999999999,10,$12395.689999999997
Mr. Caleb Saunders,male,560-37-8436,12/2/2005,(775) 373-4098,V.A.,59711,c.saundersaunders@wedeupe.ca,Diners Club United States & Canada,5481xxxxxxxx5495,04/24,male,WHTQ,3,$2263.31,8,$5838.960000000001,10,$10051.85
Miss Adeline Gutierrez,female,533-87-0582,4/8/2009,8833041160,A.R.,38354,a.Gutierrez@falminzi.net,Diners Club United States & Canada,5448xxxxxxxx2857,03/19,female,KYJG,2,$988.26,5,$2255.23,8,$6021.110000000001
Alex West,male,754-10-8957,Thu Jul 18 2013 14:23:10 GMT-0400 (Eastern Daylight Time),(759) 931-3056,New Mexico,82949,a.westest@ojtijsem.com,Diners Club United States & Canada,5479xxxxxxxx8296,05/20,male,KFKD,4,$1933.6499999999999,6,$4498.93,13,$12180.880000000001
Samuel Walton,male,472-71-7190,11/19/2005,(668) 209-1935,Delaware,16396-6102,s.waltonalton@pujsiwpo.com,Mastercard,5154xxxxxxxx6837,10/19,male,WLOS,2,$627.54,4,$3066.33,8,$6185.0599999999995
Harvey Padilla,male,053-23-0462,8/13/2011,(505) 642-6148,Illinois,50739-4979,h.Padilla@mokif.au,American Express,3412xxxxxxx4802,05/18,male,WKMH,1,$213.21,5,$2778.26,13,$10377.81
Rodney Little,male,299-03-1817,24/1/2005,2307909737,C.A.,02933-1377,r.Little@li.org,Mastercard,5147xxxxxxxx4754,06/22,male,KZCB,0,$0,4,$3270.04,13,$10080.88
Dr. Leon Perkins,male,579-87-0961,19/9/2011,7132678750,VT,17906,l.perkinserkins@nocokale.edu,Visa,4551xxxxxxxx2187,02/23,male,WNIV,3,$1588.41,7,$4832.97,11,$9464.220000000001
Misses Ellen Herrera,female,611-35-8171,Thu Sep 20 2007 07:21:42 GMT-0400 (Eastern Daylight Time),(702) 213-4080,OH,04979,e.herreraerrera@beita.org,Discover Card,6011xxxxxxxx4490,07/19,female,WTJI,4,$3053.19,8,$6994.299999999999,18,$18369.75
Leroy Munoz,male,297-61-1999,10/9/2015,7003757704,N.E.,34583-1092,l.munozunoz@hilasej.net,Discover Card,6011xxxxxxxx3432,06/25,male,KSKB,4,$2216.79,7,$5677.25,17,$13113.720000000001
Manuel Walton,male,185-19-5968,Thu Jan 03 2008 08:49:38 GMT-0500 (Eastern Standard Time),7045468192,CA,93326,m.waltonalton@sozvun.com,Mastercard,5139xxxxxxxx9231,01/21,male,KFNL,0,$0,4,$1631.21,14,$8369.34
Willie Lopez,male,582-43-2282,Tue Mar 03 2009 08:00:19 GMT-0500 (Eastern Standard Time),(252) 785-6731,C.T.,67644,w.lopezopez@fan.edu,Diners Club United States & Canada,5415xxxxxxxx9427,02/21,male,WQGO,1,$62.52,4,$1608.41,12,$7453.280000000001
Miss Ann Colon,female,932-92-4298,7/4/2014,(511) 247-3756,N.C.,00528,a.colonolon@casvac.net,Mastercard,5135xxxxxxxx9627,07/27,female,WZSG,3,$2121.7200000000003,5,$3988.4700000000003,14,$13021.800000000001
Mr. Brent Yates,male,938-01-9320,10/10/2012,3207697964,Arkansas,39956,b.yatesates@kuzwan.info,Discover Card,6011xxxxxxxx4100,10/17,male,KDZP,0,$0,2,$1706.7399999999998,9,$7354.009999999998
Doctor Julia Guerrero,female,334-33-1189,Thu Jan 31 2008 19:31:50 GMT-0500 (Eastern Standard Time),5568344329,Texas,28055-5348,j.guerrerouerrero@tesuhli.info,Discover Card,6011xxxxxxxx3138,12/19,female,KIOA,4,$2957.3999999999996,8,$7264.209999999999,18,$16351.69
Lulu Lawson,female,659-23-6532,Tue Jul 11 2006 05:28:53 GMT-0400 (Eastern Daylight Time),(853) 732-2721,L.A.,09523,l.lawsonawson@cen.edu,Discover Card,6011xxxxxxxx4112,07/26,female,KBIO,4,$2632.24,9,$6629.68,19,$15545.389999999998
Dollie Glover,female,595-76-8923,Tue Nov 21 2006 03:27:17 GMT-0500 (Eastern Standard Time),(533) 895-6938,LA,81357,d.gloverlover@surkub.de,Mastercard,5169xxxxxxxx7240,09/20,female,WTHS,2,$740.58,6,$4036.16,13,$10972.69
Ellen Greene,female,225-49-3696,Mon Nov 10 2014 16:35:17 GMT-0500 (Eastern Standard Time),(254) 587-1584,AR,73442-0405,e.greenereene@ekoguscat.com,Diners Club United States & Canada,5488xxxxxxxx2028,10/18,female,KRCO,1,$412.98,5,$3162.37,13,$9725.149999999998
Miss Georgia Weaver,female,575-33-2117,2/3/2007,3563266771,Arkansas,74962,g.Weaver@um.edu,Mastercard,5175xxxxxxxx0921,05/24,female,KNAZ,2,$931.52,3,$2027.7,5,$3178.49
Beulah Tate,female,785-64-0727,Sat Mar 03 2012 23:26:06 GMT-0500 (Eastern Standard Time),5815663763,Connecticut,83084,b.tateate@je.com,American Express,3433xxxxxxx5672,04/26,female,WUSF,5,$1561.13,9,$5642.53,11,$11389.449999999997
Miss Susie Dean,female,566-99-1151,Sun Apr 11 2010 19:52:23 GMT-0400 (Eastern Daylight Time),(521) 507-9833,MT,92838-1777,s.Dean@degeg.gov,Mastercard,5117xxxxxxxx8019,10/18,female,KIXV,3,$2106.37,6,$5332.66,8,$9214.64
Eleanor Harmon,female,703-76-6219,29/5/2006,(562) 633-1435,K.S.,66912,e.harmonarmon@rajhonocu.edu,American Express,3479xxxxxxx6271,02/19,female,KHDA,2,$706.53,7,$3709.1400000000003,14,$10712.410000000002
Glenn Patrick,male,404-37-6204,Sat Aug 11 2012 15:45:14 GMT-0400 (Eastern Daylight Time),(514) 637-5538,Delaware,64141-6544,g.patrickatrick@cehde.org,Visa,4836xxxxxxxx4711,06/20,male,WENU,1,$667.11,3,$2055.71,7,$5429.2300000000005
Jeanette Hanson,female,017-82-5917,Sun Apr 05 2009 23:17:37 GMT-0400 (Eastern Daylight Time),3489644268,NV,29015,j.hansonanson@vojpikcaz.ca,Mastercard,5112xxxxxxxx8837,02/20,female,KTXZ,3,$1412.36,7,$4983.62,13,$10310.630000000001
Harriet Snyder,female,798-65-1718,7/10/2005,3425968590,OH,90017-5688,h.snydernyder@li.edu,Diners Club United States & Canada,5490xxxxxxxx8794,10/26,female,WOHA,5,$2104.13,10,$9150.740000000002,18,$18432.050000000003
Mister Cameron Rice,male,823-68-5078,27/11/2007,9609442398,South Dakota,96820-1358,c.riceice@pidagziz.edu,Mastercard,5173xxxxxxxx1376,06/17,male,KQFM,0,$0,2,$1180.2199999999998,6,$4172.299999999999
Matthew Perkins,male,174-49-7788,24/5/2008,(658) 846-4623,Oregon,45895-0753,m.perkinserkins@rizowel.gov,American Express,3443xxxxxxx6568,09/17,male,KMJD,3,$1290.37,6,$5045.0199999999995,10,$8546.84
Larry Sherman,male,847-99-6121,Wed Feb 02 2011 23:07:38 GMT-0500 (Eastern Standard Time),4594619107,NM,81833-0383,l.shermanherman@lufe.de,American Express,3446xxxxxxx7786,09/20,male,KRXU,5,$1994.5099999999998,6,$5248.96,10,$10559.29
Misses Etta Pratt,female,512-16-4556,15/2/2008,(426) 613-2846,R.I.,63090,e.prattratt@anisan.net,American Express,3401xxxxxxx0363,10/26,female,WDCL,4,$1180.3,9,$6485.3,11,$11267.899999999998
Mr. Chris Foster,male,337-10-8913,1/8/2012,3465495166,Arizona,92391-3166,c.fosteroster@balpafag.com,Visa,4812xxxxxxxx3228,08/27,male,KPZJ,1,$682.42,2,$1757.15,3,$3833.59
Russell Cole,male,779-72-8326,Wed Dec 30 2009 00:14:32 GMT-0500 (Eastern Standard Time),(530) 750-9001,ME,03199,r.coleole@jiefa.edu,Visa,4981xxxxxxxx7488,04/17,male,WOTF,5,$2528.53,8,$6483.34,12,$12278.479999999998
Jon Robinson,male,218-68-0015,4/10/2006,(928) 613-7457,RI,86084-9753,j.robinsonobinson@jitwizzam.net,Mastercard,5154xxxxxxxx5774,06/17,male,WSJL,1,$249.39,2,$1133.3100000000002,4,$3526.93
Mister Eric Valdez,male,627-67-2872,Mon Aug 30 2010 16:27:11 GMT-0400 (Eastern Daylight Time),5154638861,I.N.,03388,e.valdezaldez@peglep.org,Discover Card,6011xxxxxxxx4643,04/22,male,WXHJ,3,$1702.1000000000001,4,$4293.56,5,$7844.01
Doctor Lucinda Hughes,female,136-61-9910,Mon Sep 05 2016 04:15:32 GMT-0400 (Eastern Daylight Time),8135002124,Kentucky,27239,l.hughesughes@hu.edu,American Express,3454xxxxxxx1000,01/19,female,WOQH,0,$0,2,$1154.33,8,$4988.79
Dr. Janie Harmon,female,715-57-7159,Sun Jun 24 2012 18:31:43 GMT-0400 (Eastern Daylight Time),(953) 345-9690,MA,37400,j.harmonarmon@lofog.org,Discover Card,6011xxxxxxxx6902,10/27,female,WMBT,4,$1367.83,8,$6229.000000000001,14,$13607.820000000003
Ollie West,female,233-75-3575,Fri Jun 08 2007 07:40:53 GMT-0400 (Eastern Daylight Time),(931) 481-4183,PA,51390,o.West@gowneh.gov,Discover Card,6011xxxxxxxx2948,10/21,female,WYZU,0,$0,3,$1716.74,5,$3942.7000000000003
Joe May,male,466-46-3968,Wed Oct 06 2010 05:55:31 GMT-0400 (Eastern Daylight Time),4013129708,N.H.,34523,j.May@usopah.org,American Express,3411xxxxxxx3017,02/25,male,WKJG,0,$0,3,$1774.92,13,$9379.989999999998
Rosa Dennis,female,834-23-0406,Tue Jul 19 2016 13:43:18 GMT-0400 (Eastern Daylight Time),(683) 522-4022,S.D.,77509-4590,r.Dennis@eraf.org,Diners Club United States & Canada,5409xxxxxxxx0077,08/20,female,KHRI,2,$1098.06,5,$3231.18,10,$8001.250000000002
Doctor Beatrice Paul,female,406-06-4647,30/1/2005,8616343144,ID,47261-3194,b.paulaul@ki.info,American Express,3484xxxxxxx9150,07/22,female,KPTK,2,$402.06,6,$3366.4,7,$6792.200000000001
Dr. Victor Reeves,male,802-22-7870,13/12/2015,(665) 345-9777,Maine,16279-4764,v.reeveseeves@hobomo.ca,Discover Card,6011xxxxxxxx1916,07/26,male,WKUM,0,$0,1,$819.58,5,$4102.99
Doctor Mario Klein,male,298-26-5433,Sat Jul 23 2011 20:33:32 GMT-0400 (Eastern Daylight Time),(781) 362-5657,Louisiana,02421,m.kleinlein@fuwso.gov,Discover Card,6011xxxxxxxx4620,03/21,male,KHFR,2,$1216.9,3,$2569.66,10,$7643.23
Christine Wong,female,364-34-1510,Tue Dec 07 2004 17:25:41 GMT-0500 (Eastern Standard Time),(515) 892-3063,Nebraska,05194-3595,c.wongong@heklud.com,Visa,4201xxxxxxxx9122,08/20,female,KFBP,3,$1164.9699999999998,4,$3562.16,10,$7112.5
Doctor Lloyd Davidson,male,254-49-9776,Sun Jan 01 2017 10:18:39 GMT-0500 (Eastern Standard Time),(211) 858-5100,Oregon,33916,l.davidsonavidson@kafbimi.net,Mastercard,5177xxxxxxxx3938,01/25,male,KXOM,4,$1973.9699999999998,8,$5769.35,15,$12591.260000000004
Lida Jackson,female,830-98-5588,Tue Jun 05 2012 08:42:47 GMT-0400 (Eastern Daylight Time),(984) 954-8890,Utah,30392-4247,l.jacksonackson@ug.org,Mastercard,5179xxxxxxxx8374,01/18,female,KBTA,4,$2386.2999999999997,9,$6528.689999999999,19,$14549.859999999997
Miss Leila Perez,female,965-40-2823,18/6/2012,9624288937,WV,97602,l.perezerez@kezuv.net,Visa,4941xxxxxxxx3189,11/22,female,WIJJ,2,$210.5,4,$2293.29,14,$10535.58
Clifford Fisher,male,322-90-9818,Wed Nov 28 2007 06:10:51 GMT-0500 (Eastern Standard Time),(650) 257-2278,TN,28632-6749,c.Fisher@kekur.au,Visa,4497xxxxxxxx6810,10/26,male,WWYY,3,$1351.8600000000001,8,$6479.179999999999,18,$16694.16
Mr. Jose McGuire,male,022-87-9256,Mon Jul 23 2007 12:14:29 GMT-0400 (Eastern Daylight Time),6579826018,N.E.,44988-1644,j.mcguirecGuire@cuskus.net,Visa,4238xxxxxxxx3787,03/23,male,KHWW,1,$846.36,2,$1578.3700000000001,4,$3891.4700000000003
Dr. Myrtle Cook,female,735-34-6263,12/30/2005,(966) 724-2082,Alaska,78141,m.cookook@wu.net,American Express,3417xxxxxxx4632,01/17,female,KMKU,4,$2001.23,8,$5838.77,13,$11785.599999999997
Pearl Rogers,female,305-24-5272,29/11/2007,(881) 815-9370,Arkansas,35402,p.rogersogers@cerodage.com,Visa,4676xxxxxxxx3073,08/23,female,KFIM,5,$3037.83,8,$7851.459999999999,10,$13114.339999999997
Hulda King,female,545-67-5673,15/4/2013,(588) 699-9357,M.N.,30516,h.King@jilcioh.net,Diners Club United States & Canada,5471xxxxxxxx3620,09/17,female,KYAM,3,$1434.24,5,$3881.93,9,$9524.04
Lena Martinez,female,544-13-7092,15/6/2005,3575658297,Connecticut,14660,l.martinezartinez@ew.nz,Visa,4657xxxxxxxx5604,07/26,female,WHUD,5,$2352.88,10,$8695.64,13,$14177.359999999997
Justin Cunningham,male,170-43-5843,3/6/2006,(245) 457-1666,Missouri,28465-1288,j.cunninghamunningham@dir.gov,Diners Club United States & Canada,5444xxxxxxxx5193,06/26,male,KMTJ,2,$1718.12,3,$2882.8899999999994,4,$5115.679999999999
Nina Bates,female,740-49-1042,24/1/2016,(863) 263-9707,Georgia,38992-3054,n.batesates@pow.net,Visa,4432xxxxxxxx8615,07/24,female,WZQV,3,$1559.77,6,$3513.0300000000007,14,$9913.83
Mister Marc Park,male,027-28-7877,Wed Feb 06 2008 02:53:36 GMT-0500 (Eastern Standard Time),(564) 841-6659,New Mexico,08428,m.parkark@tawuf.ca,Diners Club United States & Canada,5499xxxxxxxx2355,08/24,male,KHNE,3,$499.08000000000004,8,$5829.779999999999,15,$14250.690000000002
Lizzie Wheeler,female,019-69-5581,9/18/2005,6223215566,N.J.,10936-9618,l.Wheeler@tutov.co,Diners Club United States & Canada,5420xxxxxxxx3071,12/20,female,WWON,3,$1478.74,5,$3809.06,11,$8849.400000000001
Doctor Matthew Mitchell,male,056-93-3498,Sun Mar 14 2010 18:30:09 GMT-0400 (Eastern Daylight Time),(260) 770-9830,ID,53039-2403,m.mitchellitchell@ja.info,Mastercard,5175xxxxxxxx0830,06/27,male,KNOG,1,$285.41,5,$2797.3900000000003,11,$7510.750000000002
Bradley McCarthy,male,606-72-8259,11/8/2012,8014699878,VT,73072,b.mccarthycCarthy@va.ca,Visa,4061xxxxxxxx1448,08/17,male,WITA,2,$1054.48,6,$3634.44,12,$8885.92
Misses Isabella James,female,375-83-1225,Sun Jul 30 2017 03:50:36 GMT-0400 (Eastern Daylight Time),(365) 621-6647,M.D.,42255,i.jamesames@rucbiweh.org,Mastercard,5147xxxxxxxx3190,09/23,female,WLZD,3,$856.45,7,$4636.55,9,$9269.99
Randy Vega,male,449-98-7591,Mon Apr 25 2005 13:28:09 GMT-0400 (Eastern Daylight Time),(311) 512-2681,Wisconsin,01011-7062,r.Vega@bad.org,Mastercard,5107xxxxxxxx0485,04/17,male,WSDP,4,$2167.1,9,$6219.919999999999,14,$10080.849999999999
Mrs. Bertie James,female,450-23-1535,6/25/2005,4114634965,Colorado,84681,b.jamesames@veipo.org,Discover Card,6011xxxxxxxx6124,02/27,female,KDIY,2,$1033.83,3,$2356.49,12,$7027.23
Misses Emily Thomas,female,285-85-6094,Sat Sep 10 2016 16:08:42 GMT-0400 (Eastern Daylight Time),7465573497,Alabama,13054-0820,e.thomashomas@ru.org,Diners Club United States & Canada,5439xxxxxxxx7665,12/24,female,WSKW,1,$286.3,5,$3728.0499999999997,15,$11484.84
Christina Brewer,female,569-24-9148,3/12/2015,(724) 220-3079,Illinois,03309,c.brewerrewer@he.de,American Express,3449xxxxxxx4991,11/27,female,WKAL,5,$2556.88,9,$7972.349999999999,16,$15546.139999999998
Gerald Craig,male,023-90-2088,13/10/2012,(489) 963-7848,Georgia,40163,g.craigraig@gutob.edu,Diners Club United States & Canada,5491xxxxxxxx6915,02/17,male,WXFF,2,$316.01,6,$3332.37,11,$7811.950000000001
Ella Mack,female,179-97-4986,30/11/2007,(377) 461-6442,NE,13716-7456,e.mackack@jidar.net,Discover Card,6011xxxxxxxx5635,07/19,female,KOIP,0,$0,4,$1984.9,13,$8713.140000000001
Doctor Blanche Holt,female,576-05-9172,4/9/2014,(885) 661-1693,I.N.,13328,b.holtolt@up.co,American Express,3445xxxxxxx3102,06/20,female,WOTM,2,$197.66,5,$2248.2799999999997,12,$8572.740000000002
Lena Baker,female,724-88-9292,11/20/2004,(724) 870-5867,Minnesota,17025,l.bakeraker@kihoknak.au,Mastercard,5120xxxxxxxx1005,10/23,female,WNNW,0,$0,2,$1053.04,7,$3405.9500000000007
Dora Drake,female,458-99-3912,Wed Sep 21 2011 04:49:47 GMT-0400 (Eastern Daylight Time),(472) 335-7955,Louisiana,71186,d.Drake@pa.gov,Discover Card,6011xxxxxxxx6559,07/18,female,KJKX,5,$2717.05,10,$7336.52,20,$17457.280000000002
Henrietta Hodges,female,813-30-6802,4/12/2015,3342127973,TX,63715-4885,h.Hodges@si.gov,American Express,3495xxxxxxx9526,11/27,female,KLAV,5,$4135.860000000001,7,$8423.78,13,$16047.570000000002
Mister Theodore Nichols,male,354-57-1600,Sun Feb 12 2012 01:07:38 GMT-0500 (Eastern Standard Time),(683) 693-8668,N.H.,13723,t.Nichols@fon.de,Diners Club United States & Canada,5400xxxxxxxx2384,01/25,male,WHDO,5,$2686.14,6,$5140.19,10,$10374.300000000001
Miss Harriet Bryan,female,938-58-3931,9/4/2017,9325567721,Kansas,17301,h.bryanryan@jocje.de,Mastercard,5153xxxxxxxx5309,11/17,female,KITZ,3,$1653.6000000000001,7,$6136.710000000001,13,$13095.720000000001
Mr. Elijah Austin,male,776-70-5139,9/6/2007,5177594583,A.K.,16008,e.Austin@dil.net,Diners Club United States & Canada,5452xxxxxxxx2346,02/18,male,KPVE,5,$2720.15,7,$5163.49,14,$12330.629999999997
Gertrude Gonzales,female,013-40-4242,Fri Oct 13 2006 13:03:55 GMT-0400 (Eastern Daylight Time),4442228176,Missouri,63915-5043,g.gonzalesonzales@wecow.org,Discover Card,6011xxxxxxxx9347,03/22,female,KGDR,0,$0,3,$1385.5099999999998,9,$5214.599999999999
Adelaide Lewis,female,757-91-9426,19/6/2011,4826255528,Wyoming,65865,a.lewisewis@ec.info,American Express,3480xxxxxxx4232,03/18,female,KWNF,3,$2216.98,7,$6483.93,8,$8969.81
Kenneth West,male,942-90-8081,7/11/2005,(563) 436-2540,I.L.,24624,k.westest@ruto.ca,Diners Club United States & Canada,5435xxxxxxxx7974,06/20,male,WGAF,2,$566.78,6,$4179.0199999999995,12,$9935.06
Doctor Caleb Chandler,male,003-05-0437,23/11/2006,(642) 560-7737,New Hampshire,46670,c.chandlerhandler@ifepa.net,Discover Card,6011xxxxxxxx9483,09/18,male,WCOB,3,$1532.1599999999999,6,$4936.13,16,$12975.189999999999
Clayton McDonald,male,935-34-3842,1/7/2010,6659981245,Hawaii,47314,c.mcdonaldcDonald@tivecu.net,Mastercard,5184xxxxxxxx4429,08/24,male,KNRH,2,$1324.17,5,$3621.68,8,$7954.019999999999
Doctor Phoebe Jordan,female,963-54-9353,26/11/2009,3437139637,Illinois,48614,p.jordanordan@gupiga.info,Mastercard,5177xxxxxxxx0826,10/27,female,WTRY,4,$1300.16,8,$4871.49,17,$15203.22
Misses Myrtle Conner,female,609-42-8886,10/10/2004,3155166342,Florida,45161,m.Conner@fudin.info,Visa,4554xxxxxxxx1593,01/19,female,WNYS,1,$420.63,6,$3366.3599999999997,10,$8660.599999999999
Miss Violet Martin,female,929-60-1206,Tue Dec 28 2010 05:13:00 GMT-0500 (Eastern Standard Time),6619049735,Virginia,45815,v.martinartin@filwem.info,Discover Card,6011xxxxxxxx6154,10/19,female,WKSG,5,$1521.7600000000002,10,$7069.6100000000015,13,$14998.010000000002
Chester Morales,male,961-67-8584,13/5/2009,9145092850,North Dakota,74172-9910,c.moralesorales@wuhodbo.net,Visa,4924xxxxxxxx7418,05/24,male,KHME,2,$612.8,3,$2106.38,12,$5887.079999999999
Theresa Kelly,female,942-68-6559,Sat Sep 06 2014 07:51:16 GMT-0400 (Eastern Daylight Time),9048969281,M.O.,05121-6167,t.Kelly@jo.co,Mastercard,5108xxxxxxxx4868,06/17,female,KSVT,1,$439.21,4,$2185.02,12,$9495.919999999998
Edith Bryan,female,742-29-1009,Sat Jul 13 2013 09:04:29 GMT-0400 (Eastern Daylight Time),(555) 912-9420,SC,35020,e.bryanryan@weztulig.info,Discover Card,6011xxxxxxxx0010,05/25,female,WVBS,0,$0,2,$1178.73,10,$5646.34
Terry Edwards,male,105-84-9346,16/1/2007,(857) 598-6658,N.Y.,06577-3445,t.Edwards@tez.com,Diners Club United States & Canada,5495xxxxxxxx3334,07/23,male,WALJ,2,$1398.72,4,$4133.6900000000005,11,$10566.780000000002
Doctor Ollie Stanley,female,683-55-0691,Wed May 25 2011 16:36:58 GMT-0400 (Eastern Daylight Time),6247547406,Washington,87804-5916,o.stanleytanley@afa.com,Diners Club United States & Canada,5421xxxxxxxx0304,05/19,female,KEDH,2,$733.55,6,$2831.73,15,$11759.670000000002
Doctor Evan King,male,834-48-7001,5/27/2015,(456) 556-6797,Texas,79231,e.kinging@juak.ca,Mastercard,5183xxxxxxxx4311,05/22,male,KEWQ,0,$0,3,$1256.46,12,$7848.209999999999
